General Attribute,Matched Medical Attributes,Accuracy,Label
culture,Anthropological Culture; Culture For Fungus; Anaerobic Blood Culture,0.9977392554283142,non-medical
distortion,Architectural Distortion,0.9977291226387024,non-medical
likely,Most Likely; Likely Benign Variant; Very Likely,0.9970989227294922,non-medical
egg,Egg Whites Dietary,0.9970695376396179,non-medical
collision,Motor Vehicle Collision,0.996935248374939,non-medical
whites,Egg Whites Dietary,0.9968624711036682,non-medical
constriction,Pathological Constriction,0.9967480897903442,non-medical
study,Nonclinical Study Title; Study Report; Computerized Tomography Limited Or Localized Follow Up Study; Imaging Study With 3 Dimensional Rendering; Study Site Dissolved; Study Completion,0.996669590473175,non-medical
hide,Animal Hide,0.9962636828422546,non-medical
architectural,Architectural Distortion,0.9961408972740173,non-medical
lays,Pet Lays In One Place All Day,0.995902419090271,non-medical
street,Living On The Street,0.9957411289215088,non-medical
home,At Home,0.995519757270813,non-medical
tent,Face Tent Oxygen Delivery Device; Tent Recreation Equipment,0.9954121708869934,non-medical
pet,Pet Lays In One Place All Day,0.9948383569717407,non-medical
vehicle,Motor Vehicle Collision,0.9948076605796814,non-medical
value,Distal Qualifier Value; Surrounding Qualifier Value; Improving Qualifier Value; Asymmetry Qualifier Value; Estimated Potential Vessel Value; Thin Qualifier Value; Not Examined For Contextual Qualifier Qualifier Value; Difficult Qualifier Value; Sudden Qualifier Value; To Be Done Qualifier Value; Return To Contextual Qualifier Qualifier Value; Square Millimeter Qualifier Value; Do Not Know Qualifier Value; Bore Qualifier Value; Probably Present Qualifier Value; Consented Qualifier Value; Definitely Present Qualifier Value; Unknown Origin Qualifier Value; Applies To Hl7 Value Set And Coded Concept Property Codes; Not Provided Qualifier Value; Relieved Qualifier Value; Not Needed Qualifier Value; Not Suspected Qualifier Value; 58 Qualifier Value; 66 Qualifier Value; Stabilized Qualifier Value; Elevation Value,0.9946901798248291,non-medical
goes,Goes Invertebrate,0.9946678876876831,non-medical
arcing,Electrical Arcing,0.994629979133606,non-medical
aspirations,Mechanical Aspirations,0.994391679763794,non-medical
colla,Colla Invertebrate,0.9943349361419678,non-medical
testis,History Of Undescended Testis,0.9927064180374146,non-medical
cleaning,Cleaning Activity,0.9925356507301331,non-medical
therapist,Slt Speech And Language Therapist,0.9924342632293701,non-medical
occult,Occult Malignancy,0.9923606514930725,non-medical
flight,Flight Process,0.9920743703842163,non-medical
floor,Floor Story Of Building,0.9917261004447937,non-medical
attack,Ischemic Attack,0.9916757345199585,non-medical
syncopal,Syncopal Episodes,0.9915182590484619,non-medical
metal,Metal Artifact,0.9914223551750183,non-medical
sunrise,View Sunrise,0.9911724328994751,non-medical
house,House Staff,0.990492045879364,non-medical
mechanical,Mechanical Difficult; Mechanical Aspirations; Mechanical Obstruction,0.9901537299156189,non-medical
mural,Mural Nodule,0.9901269674301147,non-medical
food,Bolus Of Ingested Food,0.9896730184555054,non-medical
hard,Physical Hard Work,0.9892949461936951,non-medical
undescended,History Of Undescended Testis,0.9892604947090149,non-medical
phase,Oral Psychosexual Phase; Equilibrium Phase,0.9889350533485413,non-medical
