General Attribute,Matched Medical Attributes,Accuracy,Label
bacterial,Bacterial Embolus; Bacterial Infection Due To Unspecified Streptococcus,0.5013808608055115,medical
gyrus,Right Superior Frontal Gyrus; Structure Of Frontal Lobe Gyrus; Left Inferior Frontal Gyrus; Structure Of Parietal Lobe Gyrus; Left Postcentral Gyrus; Structure Of Postcentral Gyrus,0.5018776059150696,medical
related,Age Related Atrophy; Rho Related Gtp Binding Protein Rhob Human; Not Related; Hiv Related; Disease Related; Product Related Impurity,0.5026921033859253,medical
compresses,Warm Compresses,0.5044638514518738,medical
matrix,Matrix Metalloproteinases,0.5052004456520081,medical
autonomic,Autonomic Nervous System Structure,0.5057622194290161,medical
mucous,Mucous Plugging; Mucous Body Substance,0.5081431865692139,medical
layer,Anatomical Layer,0.5092426538467407,medical
anastomotic,Leakages Anastomotic,0.5131838917732239,medical
office,5 Minutes Office Visit,0.5140537619590759,medical
cranium,Bone Structure Of Cranium; Trephination Of Cranium,0.5160239934921265,medical
cerebrum,Contusion Of Cerebrum,0.5167369842529297,medical
hypokinesis,Hypokinesis Global,0.5237272381782532,medical
avid,Fluorine 18 Fluorodeoxyglucose Avid Tumor,0.5267996788024902,medical
spur,Spur Body Structure; Plantar Calcaneal Spur,0.527520477771759,medical
debulking,Debulking Procedure,0.5308394432067871,medical
kyphoscoliosis,Acquired Kyphoscoliosis,0.5310746431350708,medical
gangrene,Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,0.5315017104148865,medical
gait,Ataxia Of Gait; Gait Disturbance Ctcae; Gait Abnormality,0.5363631248474121,medical
radiofrequency,Radiofrequency Interstitial Ablation,0.538667619228363,medical
myeloma,Plasmacytic Myeloma,0.5439943671226501,medical
swollen,Swollen Legs,0.5478172302246094,medical
refused,Patient Refused,0.550408661365509,medical
lentiform,Right Lentiform Nucleus; Left Lentiform Nucleus,0.5520918369293213,medical
fillings,Dental Fillings,0.5541530251502991,medical
orif,Open Reduction Internal Fixation Orif,0.5545631051063538,medical
hemidiaphragm,Structure Of Hemidiaphragm; Elevated Right Hemidiaphragm,0.5548304915428162,medical
electrolyte,Electrolyte Regulation,0.5561668276786804,medical
insulin,Niddm Non Insulin Dependent Diabetes Mellitus,0.5601229071617126,medical
ventral,Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,0.5607566237449646,medical
malformations,Aspects Of Congenital Malformations,0.5632777214050293,medical
specificity,Sensitivity And Specificity,0.5638242363929749,medical
electrical,Electrical Activity Of Brain; Electrical Arcing; Charge Electrical,0.564729630947113,medical
marginal,Marginal Quality; Marginal Osteophytes,0.5682321190834045,medical
plantar,Plantar Calcaneal Spur,0.5695558190345764,medical
retained,Retained Barium; Retained Secretions,0.5710300207138062,medical
clavicle,Bone Structure Of Clavicle; Clavicle Right,0.571940004825592,medical
coil,Embolisation Coil Device,0.5735632181167603,medical
tibialis,Tibialis Posterior Muscle Structure,0.574994683265686,medical
sludge,Sludge Gallbladder,0.575603723526001,medical
output,Decreased Output Urine,0.5792338848114014,medical
extreme,Extreme Generalised Oedema,0.579865574836731,medical
contusion,Pulmonary Contusion; Non Haemorrhagic Contusion; Contusion Of Cerebrum,0.5804741382598877,medical
vasogenic,Vasogenic Edema,0.5809289813041687,medical
amylase,Amylase Lipase; Increased Amylase,0.5820702314376831,medical
weak,Cough Weak,0.5822574496269226,medical
checking,Checking Action,0.5823972821235657,medical
dosage,Dental Cement Dosage Form,0.5848696827888489,medical
proliferation,Proliferation Morphologic Abnormality; Proliferation Intimal,0.5852741003036499,medical
evidence,Evidence Of Embolus,0.5896273851394653,medical
rising,Creatinine Rising,0.5910696983337402,medical
hesitancy,Hesitancy Of Micturition,0.5911620259284973,medical
short,Short Terms; Severely Short Of Breath Answer; Short Chain Dehydrogenase Reductase Family 18C Member 1; A Very Short Time,0.5929643511772156,medical
long,Increased Long Bone Fracture Rate,0.5948980450630188,medical
mm,2 Mm; 5 Mm; 7 Mm; 6 Mm; 4 Mm; 3 Mm; 1 Mm,0.5959994792938232,medical
hoarseness,Hoarseness Throat Symptom,0.5988047122955322,medical
hippocampal,Hippocampal Structure,0.602959156036377,medical
febrile,Febrile Neutropenia,0.6042669415473938,medical
atrophic,Atrophic Pancreas,0.6048151850700378,medical
lymphatic,Lymphatic Spread,0.6059079170227051,medical
calvarial,Calvarial Defect; Calvarial Skull Defect,0.6076696515083313,medical
extrahepatic,Systems Extrahepatic Biliary,0.6093043684959412,medical
hypopharyngeal,Hypopharyngeal Structure,0.609313428401947,medical
seizures,Activities Seizures; New Onset Seizures,0.6094083189964294,medical
filling,Dental Filling Materials,0.6099614500999451,medical
cement,Dental Cement Dosage Form,0.6115540862083435,medical
incised,Incised Wound Morphology,0.6135039925575256,medical
tonsillar,Tonsillar Structure,0.6137624382972717,medical
mid,Mid Body Of Stomach,0.6137704849243164,medical
intralobular,Intralobular Septal Thickening,0.6138518452644348,medical
pericarditis,Haemorrhagic Pericarditis,0.6146491169929504,medical
severity,Infection Severity; Severity One Out Of Three,0.6147830486297607,medical
stain,Gram Stain Of Sputum; Field S Stain,0.6149575710296631,medical
gliotic,Gliotic Changes,0.6173990964889526,medical
effacement,Thecal Sac Effacement; Sulcal Effacement,0.6197675466537476,medical
impairment,Physical Mobility Impairment; Impairment Of Pharyngeal Stripping Wave,0.6197696328163147,medical
infratentorial,Infratentorial Brain Structure,0.6211739182472229,medical
duplex,Duplex Doppler,0.6236687302589417,medical
lactate,Elevated Lactate Level,0.6264680027961731,medical
obstructing,Obstructing Lesion,0.6279167532920837,medical
subgaleal,Subgaleal Fluid,0.629196286201477,medical
painful,Painful Hips,0.6304893493652344,medical
diarrhea,Frequent Diarrhea,0.6311756372451782,medical
dysphagia,Oropharyngeal Dysphagia; History Of Dysphagia,0.636016309261322,medical
observed,Not Observed; T2 Observed Weighted Imaging,0.6375446915626526,medical
swelling,Soft Tissue Swelling; Observation Of Swelling; Facial Swelling Finding; Swelling Question; Swelling Of Scalp; Neck Swelling; Swelling Of Forearm,0.6375658512115479,medical
compressed,Compressed Fractures,0.6376972794532776,medical
tenth,Tenth Rib Fracture,0.6397701501846313,medical
severely,Severely Limited; Severely Short Of Breath Answer; Severely Enlarged,0.6413262486457825,medical
code,Current Procedural Terminology Code,0.6419855356216431,medical
sterility,Sterility Reproductive,0.6434175968170166,medical
iliacus,Right Iliacus Muscle; Left Iliacus Muscle,0.6469099521636963,medical
mammary,Right Mammary Part Of Chest,0.6478629112243652,medical
plugging,Mucus Plugging; Mucous Plugging,0.6485477685928345,medical
coverage,Pre Existing Condition Coverage,0.649065375328064,medical
hematocrit,Decrease In Hematocrit,0.6495296359062195,medical
tubing,Oxygen Supply Tubing; Changes Tubing,0.6505590081214905,medical
nodularity,Breast Irregular Nodularity,0.6506771445274353,medical
feces,Gastrointestinal Tract Feces,0.6513878703117371,medical
klebsiella,Klebsiella Bacteraemia,0.652048647403717,medical
coughed,Specimen Type Sputum Coughed,0.6542534232139587,medical
trabecular,Trabecular Substance Of Bone,0.6544003486633301,medical
modest,Modest Extremity Pain,0.6566758155822754,medical
fungal,Fungal Infectious Disease,0.6606550216674805,medical
mental,Decreased Mental Alertness; Acute Mental Status Changes; Change In Mental Status; Mental Change; Fear Mental Process; Mental Status Stupor,0.6631937026977539,medical
cold,Cold Left Leg; Cold Right Foot; Cold Left Foot,0.6640395522117615,medical
endocrine,Neoplasm Of The Endocrine System,0.6657875180244446,medical
active,Active Follow Up; Very Active,0.6660499572753906,medical
inr,Supratherapeutic Inr,0.6682732701301575,medical
levels,4 Levels; 3 Levels; Calcium Increased Levels; 5 Levels,0.6721590757369995,medical
epiglottis,Aplasia Of The Epiglottis,0.6733586192131042,medical
mucosal,Mucosal Thickening,0.6752462387084961,medical
tenderness,Pain And Tenderness; Abdominal Tenderness Absent; Have You Experienced Tenderness,0.6772551536560059,medical
transcription,Transcription Factor 21 Protein Human,0.6789470314979553,medical
clonic,Tonic Clonic Convulsion,0.679554283618927,medical
thinning,Cerebral Cortical Thinning,0.6821593642234802,medical
cellular,Cellular Structures; Secretion Cellular,0.6844316124916077,medical
exophytic,Large Exophytic Cysts; Exophytic Polypoid Lesion,0.6848141551017761,medical
deformity,Kyphosis Deformity Of Spine; Skeletal Deformity; Deformity Of Chest Wall; Deformity Of The Skull; Extrinsic Deformity,0.6855159997940063,medical
elimination,Elimination Function Of The Body,0.6872692108154297,medical
assistants,Dental Assistants; Physician S Assistants,0.6907759308815002,medical
attempt,Extubation Attempt,0.6911569237709045,medical
