General Attribute,General Frequency,Matched Medical Attributes,Matched Medical Frequencies,Mean Cosine Similarity,Direction
distinct,353,Distinct Procedural Service,326,0.49743010717627917,General ⊂ Medical
pylori,1,Infection Caused By Helicobacter Pylori,1,0.5713613095653035,General ⊂ Medical
fashion,149,The Patient Was Prepped And Draped In The Usual Sterile Fashion,3,0.6082758492537379,General ⊂ Medical
draped,140,The Patient Was Prepped And Draped In The Usual Sterile Fashion,3,0.610515343804735,General ⊂ Medical
usual,76,The Patient Was Prepped And Draped In The Usual Sterile Fashion,3,0.6150809379146601,General ⊂ Medical
buffered,15,Buffered Lidocaine,8,0.6324827910609816,General ⊂ Medical
aureus,2,Bacteraemia Due To Methicillin Resistant Staphylococcus Aureus; Staphylococcus Aureus Subsp . Anaerobius; Methicillin Resistant Pneumonia Due To Staphylococcus Aureus; Methicillin Resistant Staphylococcus Aureus Septicemia,9; 2; 8; 3,0.6387258809041844,General ⊂ Medical
laser,13,Laser Suite Retina Patient Tolerated Procedure Well Treatment,103,0.6470364204174137,General ⊂ Medical
emission,33,Positron Emission Tomography With Computed Tomography; Fluorodeoxyglucose Positron Emission Tomography; Fdg Positron Emission Tomography And Computed Tomography Scan; Medical Imaging Single Photon Emission Computed Tomography,138; 4; 7; 1,0.6494465693546524,General ⊂ Medical
mellitus,1,Dm Diabetes Mellitus; Niddm Non Insulin Dependent Diabetes Mellitus,1; 1,0.6522777608058414,General ⊂ Medical
suite,67,Laser Suite Retina Patient Tolerated Procedure Well Treatment,103,0.6547158066758358,General ⊂ Medical
limits,595,Within Normal Limits,448,0.6573176636228416,General ⊂ Medical
gauge,153,20 Gauge; 18 Gauge; 22 Gauge,11; 29; 8,0.6603067600696747,General ⊂ Medical
fifteen,1,Fifteen Minutes,20,0.6607070472247133,General ⊂ Medical
multi,2,Multi Detector Computed Tomography Angiography,3,0.6645306963434119,General ⊂ Medical
beam,4,Beam Hardening Artifact,4,0.6672489463431587,General ⊂ Medical
equina,36,Cauda Equina Syndrome,8,0.667545578015423,General ⊂ Medical
prepared,44,Magnetization Prepared Rapid Gradient Echo Mri; Three Dimensional Magnetization Prepared Rapid Gradient Echo Imaging,137; 1,0.6696192187966534,General ⊂ Medical
without,2327,Computerized Transaxial Tomography Without Iv Contrast; Computerized Axial Tomography Without Contrast; Ct Scan Of Abdomen Without And With Iv Contrast Procedure; Computed Tomography Of The Brain Without Contrast; Cholelithiasis Without Cholecystitis; Ct Of Abdomen And Pelvis Without Contrast; Magnetic Resonance Imaging Of The Brain With And Without Contrast; Ct Of Chest Without Contrast; Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,57; 6; 2; 14; 3; 1; 4; 3; 2,0.6715800810846825,General ⊂ Medical
fdg,170,Fdg Positron Emission Tomography And Computed Tomography Scan,7,0.6734011068056516,General ⊂ Medical
identifier,935,Contrast Agent Administered Identifier,4,0.6768638466720167,General ⊂ Medical
universal,2,Rnrx Universal Precautions,1,0.6775769330846051,General ⊂ Medical
tolerated,121,Laser Suite Retina Patient Tolerated Procedure Well Treatment,103,0.6780887601355622,General ⊂ Medical
quadrant,238,Luq Left Upper Quadrant; Ruq Right Upper Quadrant; Structure Of Left Upper Quadrant Of Abdomen; Quadrant Right Lower; Left Lower Quadrant; Right Lower Quadrant Pain; Right Upper Quadrant Pain; Structure Of Upper Abdominal Quadrant; Structure Of Right Upper Quadrant Of Abdomen; Left Lower Quadrant Pain; Entire Lower Abdominal Quadrant Body Structure,33; 48; 17; 34; 21; 3; 16; 3; 7; 1; 1,0.6795970733011784,General ⊂ Medical
capability,2,Catheter Guiding May Include Infusion Perfusion Capability,9,0.6795982804814665,General ⊂ Medical
vehicle,20,Motor Vehicle Collision,16,0.6797020721948415,General ⊂ Medical
chain,51,Short Chain Dehydrogenase Reductase Family 18C Member 1,3,0.679853418409844,General ⊂ Medical
ordering,24,Ordering Physician,18,0.681467320530007,General ⊂ Medical
blush,25,Angiography Of Cerebral Arteries : Tumor Blush,9,0.681855546113847,General ⊂ Medical
guiding,10,Catheter Guiding May Include Infusion Perfusion Capability,9,0.6835629029075304,General ⊂ Medical
experienced,6,Have You Experienced Tenderness,1,0.6840319430801394,General ⊂ Medical
relaxation,10,Transverse Relaxation Time Fluid Attenuated Inversion Recovery Mri,28,0.6840889847326401,General ⊂ Medical
residue,41,Residue On Valleculae Following Swallowing; Oral Residue Following Swallowing,15; 4,0.6843144501124947,General ⊂ Medical
following,717,Residue On Valleculae Following Swallowing; Oral Residue Following Swallowing,15; 4,0.6862145154974189,General ⊂ Medical
volumes,263,Small Lung Volumes,1,0.68629810831831,General ⊂ Medical
collision,6,Motor Vehicle Collision,16,0.6875777331011036,General ⊂ Medical
hardening,3,Beam Hardening Artifact,4,0.6885100834093103,General ⊂ Medical
fraction,11,Calculated Left Ventricular Ejection Fraction; Ejection Fraction : Volume Fraction : Point In Time : Heart . Ventricle . Left : Quantitative; Echocardiography : Left Ventricular Ejection Fraction Calculated,6; 1; 1,0.690851450130913,General ⊂ Medical
silent,17,Silent Aspiration,12,0.6915424099628593,General ⊂ Medical
nominal,5,Tuberculosis Status : Type : Point In Time : Patient : Nominal : Reported; Electrocardiograph Lead : Finding : To Identify Measures At A Point In Time : Patient : Nominal; Respiratory Status : Finding : Point In Time : Patient : Nominal; Nasogastric Tube Site : Anatomy : Point In Time : Patient : Nominal,1; 6; 6; 1,0.6923778641985938,General ⊂ Medical
thank,52,Thank You,48,0.6940052182452695,General ⊂ Medical
color,169,Grayscale Color Map; Color Doppler; Color Doppler Ultrasonography,93; 53; 1,0.6946302460750592,General ⊂ Medical
since,1831,Decrease In Size Since Previous Mammogram Finding; Increase In Size Since Previous Mammogram; New Finding Since Previous Mammogram; No Significant Change Since Previous Mammogram Finding,107; 141; 22; 1,0.6946663758614056,General ⊂ Medical
inch,16,0 . 018 Inch,10,0.694907457882404,General ⊂ Medical
include,120,Catheter Guiding May Include Infusion Perfusion Capability,9,0.6969786777397297,General ⊂ Medical
percussion,1,Tympanic Abdoman To Percussion,2,0.6971410412285372,General ⊂ Medical
basic,8,Dystrophin Associated Protein Basic A1,2,0.6979322243296929,General ⊂ Medical
induction,1,Induction Of Conscious Sedation,59,0.6979810121847969,General ⊂ Medical
vol,11,Speciman Volume : Vol : Pt : Plr Fld : Qn; Speciman Volume : Vol : Pt : Bld : Qn; Specimen Volume : Vol : Pt : Pericard Fld : Qn,1; 1; 1,0.6981876612521903,General ⊂ Medical
enhanced,86,Contrast Enhanced Computed Tomography; Contrast Enhanced Magnetic Resonance Imaging; Secretin Enhanced Magnetic Resonance Imaging,14; 6; 1,0.6989283791748605,General ⊂ Medical
gastro,1,Gastro Oesophageal Reflux Disease With Oesophagitis,1,0.6995835570593708,General ⊂ Medical
guidance,339,Ct Computerised Tomography Guidance; Guidance For Embolization; Biopsy With Ct Guidance Of Left Lung; Guidance For Percutaneous Biopsy : Find : Pt : Chest Lung : Doc : Imaging Modality; Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct; Drainage Using Computed Tomography Guidance; Computerised Tomography For Guidance Localisation,21; 1; 5; 7; 2; 8; 3,0.7008732312661689,General ⊂ Medical
ii,18,B2 Billroth Ii Partial Gastrectomy,1,0.7009417946883113,General ⊂ Medical
inversion,19,Transverse Relaxation Time Fluid Attenuated Inversion Recovery Mri,28,0.7012474534590829,General ⊂ Medical
affected,4,How Much Bothered By Arm Weakness In Affected Arm,10,0.7014596569452989,General ⊂ Medical
retrograde,21,Ercp Endoscopic Retrograde Cholangiopancreatography,5,0.7015920160442498,General ⊂ Medical
fine,26,Transbronchial Fine Needle Aspiration; Speciman Obtained By Fine Needle Aspiration Procedure; Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct; Fine Needle Aspiration Biopsy Procedures,15; 3; 2; 5,0.7018138012068358,General ⊂ Medical
exaggerated,20,Exaggerated Lordosis,1,0.7023309571271023,General ⊂ Medical
shaft,12,Bone Structure Of Shaft Of Femur; Bone Structure Of Shaft Of Fibula; Bone Structure Of Shaft Of Tibia,2; 2; 1,0.7023997073804201,General ⊂ Medical
gradient,80,Magnetization Prepared Rapid Gradient Echo Mri; Three Dimensional Magnetization Prepared Rapid Gradient Echo Imaging,137; 1,0.7025908255610029,General ⊂ Medical
main,1049,Main Pulmonary Artery; Left Main Coronary Artery Segment; Main Stem Bronchus Compression; Dilated Main Pulmonary Artery,225; 182; 1; 1,0.7032713166683948,General ⊂ Medical
examinations,123,Endoscopic Fiberoptic Examinations,2,0.7036978140168493,General ⊂ Medical
dimensional,4,2 Dimensional Grayscale Ultrasound Imaging; Three Dimensional Images; Medical Imaging Three Dimensional; Imaging Study With 3 Dimensional Rendering; Three Dimensional Magnetization Prepared Rapid Gradient Echo Imaging,420; 15; 7; 2; 1,0.7038511025421627,General ⊂ Medical
exertion,12,Borg Category Ratio 10 Perceived Exertion Score 1,11,0.70432425089844,General ⊂ Medical
identify,32,Electrocardiograph Lead : Finding : To Identify Measures At A Point In Time : Patient : Nominal,6,0.7046076355904674,General ⊂ Medical
joining,2,Cell Cycle Regulator Of Nonhomologous End Joining,4,0.7051547683398153,General ⊂ Medical
calculated,10,Calculated Left Ventricular Ejection Fraction; Echocardiography : Left Ventricular Ejection Fraction Calculated,6; 1,0.7051777631471792,General ⊂ Medical
multiphasic,11,Multiphasic Computed Tomography Of The Abdomen,1,0.7058603748491814,General ⊂ Medical
aspect,433,Entire Anterior Portion Of Diaphragmatic Aspect Of Liver,1,0.7060559283730392,General ⊂ Medical
stem,413,Cerebral Infarction Posterior Circulation Brain Stem Infarction; Main Stem Bronchus Compression,3; 1,0.7069784441198126,General ⊂ Medical
point,91,Multisection : Finding : Point In Time : Abdomen : Narrative : Computerized Tomography; Multisection : Finding : Point In Time : Spine . Lumbar : Narrative : Mri; Multisection : Finding : Point In Time : Spine . Thoracic : Narrative : Mri; Multisection : Finding : Point In Time : Spine . Cervical : Narrative : Mri; Tuberculosis Status : Type : Point In Time : Patient : Nominal : Reported; Electrocardiograph Lead : Finding : To Identify Measures At A Point In Time : Patient : Nominal; Number Of Unsuccessful Attempts : Number : Point In Time : Patient : Quantitative; Point In Time; Multisection : Finding : Point In Time : Abdomen : Narrative : Mri; Ejection Fraction : Volume Fraction : Point In Time : Heart . Ventricle . Left : Quantitative; Respiratory Status : Finding : Point In Time : Patient : Nominal; Breaths : Number Count Time : Point In Time : Respiratory System : Quantitative; Nasogastric Tube Site : Anatomy : Point In Time : Patient : Nominal,622; 30; 39; 27; 1; 6; 6; 1; 5; 1; 6; 4; 1,0.707206360208964,General ⊂ Medical
resolution,283,High Resolution Computed Tomography,5,0.708141666891122,General ⊂ Medical
setting,227,Note : Find : Pt : Setting : Doc : Physician Attending; Surgical Operation Note : Find : Pt : Setting : Doc : Role,3; 5,0.7086583381715867,General ⊂ Medical
week,56,In The Last Week; One Week; More Than A Week,13; 19; 1,0.7089215341939412,General ⊂ Medical
iii,50,Stage Iii Non Small Cell Carcinoma Of The Lung; Cancer Of Lung Stage Iii; Stage Iii Lung Adenocarcinoma Ajcc V7,9; 6; 1,0.709264776626171,General ⊂ Medical
appeared,63,Biliary Tract Laparoscopy Assessment Gallbladder Appeared Normal Treatment,1,0.7093419379841646,General ⊂ Medical
guided,123,Ct Guided Thoracentesis; Computed Tomography Guided Core Biopsy; Ultrasound Guided Liver Biopsy,3; 8; 3,0.7098431879363213,General ⊂ Medical
