General Attribute,Matched Medical Attributes,Accuracy,Label
Days from randomization date to earliest date visible,The days from randomization until the earliest date this abnormality was visible.  This is completed only for pre-existing abnormalities.,0.5351368188858032,medical
Reason for limited / non-diagnostic CT: Excessive quantum mottle or graininess,,0.6317532062530518,medical
Reason for limited / non-diagnostic CT: Other (specify),,0.6786057353019714,medical
Technical parameters: kVp,Technical parameters: kVp  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.,0.7641578316688538,medical
Technical parameters: mA,Technical parameters: mA  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.,0.8103880286216736,medical
Reason for limited / non-diagnostic CT: Lungs not completely imaged,,0.8173667192459106,medical
Technical parameters: Display FOV in cm,Technical parameters: Display FOV in cm  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.,0.8217585682868958,medical
CT slice number containing abnormality's greatest diameter,"The CT slice number containing the abnormality's greatest diameter, for non-calcified nodules or masses with >= 4 mm diameter.",0.8903810977935791,medical
Technical parameters: Effective mAs,Technical parameters: Effective mAs  This variable comes from the data collection forms.  It may disagree with data extracted from the CT images' DICOM headers.  Header data may be obtained from the NLST CT image collection at TCIA or from ACRIN.,0.8942583203315735,medical
Reason for limited / non-diagnostic CT: Respiratory misregistration,,0.8989840149879456,medical
Study year of screen,,0.916550874710083,medical
Cancer in Unknown location,Was the primary tumor located in an unknown location?  A tumor may be located in more than one location.,0.9577544331550598,medical
Days from randomization to date when participant was last known to be free from lung cancer,"Days until the date the participant was last known to be free of lung cancer.  This date comes from a participant study update form, except for ACRIN participants with cancer, where the cancer diagnosis date is used.  Do not use this variable to calculate follow-up time for lung cancer incidence rates, Cox regressions, etc.  Instead, use fup_days for non-cases and candx_days for cases.",0.9634435176849365,medical
Overall diagnostic quality of CT examination,,0.9759175777435303,medical
Cancer in Other Location,Was the primary tumor located in an other specified location?  A tumor may be located in more than one location.,0.9827562570571899,medical
Cancer in Carina,Was the primary tumor located in the carina?  A tumor may be located in more than one location.,0.9858642220497131,medical
Pathology lesion size of tumor in millimeters,,0.9863470196723938,medical
Cancer in Left upper lobe,Was the primary tumor located in the left upper lobe?  A tumor may be located in more than one location.,0.9883263111114502,medical
Cancer in Lingula,Was the primary tumor located in the lingula?  A tumor may be located in more than one location.,0.9885196685791016,medical
AJCC 7th edition staging path T component,,0.9891664981842041,medical
Cancer in Left lower lobe,Was the primary tumor located in the left lower lobe?  A tumor may be located in more than one location.,0.989412248134613,medical
Cancer in Left main stem bronchus,Was the primary tumor located in the left main stem bronchus?  A tumor may be located in more than one location.,0.990063488483429,medical
Days from randomization to diagnosis of lung cancer,,0.9908573627471924,medical
Tumor size (mm) - Pathology,,0.9909873008728027,medical
Lung cancer type from ICD-O-3 morphology,"Lung cancer type from ICD-O-3 morphology.  For LSS participants, this is recorded separately from the complete ICD code, and represents the best information available on the type of the cancer.",0.9913768172264099,medical
Pathologic T for staging,Pathologic T code for staging (AJCC 6).,0.9918273687362671,medical
Cancer in Mediastinum,Was the primary tumor located in the mediastinum?  A tumor may be located in more than one location.,0.9918984770774841,medical
Cancer in Right upper lobe,Was the primary tumor located in the right upper lobe?  A tumor may be located in more than one location.,0.9919191002845764,medical
Cancer in Right lower lobe,Was the primary tumor located in the right lower lobe?  A tumor may be located in more than one location.,0.9920419454574585,medical
Cancer in Left Hilum,Was the primary tumor located in the left hilum?  A tumor may be located in more than one location.,0.9921157956123352,medical
Cancer in Right middle lobe,Was the primary tumor located in the right middle lobe?  A tumor may be located in more than one location.,0.9927805066108704,medical
Lung cancer grade,,0.992795467376709,medical
