pretty_name,cui,frequency,average_acc
Views Ap,C0882663,8721,0.9903485297168128
Indication Of Contextual Qualifier,C0392360,24688,0.9979899032629157
Effectiveness Assessment,C0220825,6050,0.9880500613784606
Pleural Effusion Fluid,C1253943,5278,0.9752853766204373
Hospitalization Admission,C0184666,8682,0.9993861948683981
Medical Condition,C4745084,8967,1.0
Metastasis From Malignant Neoplasm,C2939420,937,0.9219862932539391
Malignant Neoplasm Of Thyroid Gland,C0007115,21,0.9957142857142856
Worsening Pattern,C0332271,811,0.9169458374806357
Clinical History,C5204342,320,1.0
Assessment,C1516048,2698,1.0
Implantation Procedure,C0021107,1447,0.8846029809207618
Congenital Pulmonary Hypoplasia,C0265783,14,1.0
Removal Of Endotracheal Tube,C0553891,131,1.0
Structure Of Respiratory System,C0035237,12,0.830562163437044
Clinical Act Of Insertion,C0441587,1542,0.9700794650913561
Carcinoma Of The Lung,C0684249,3493,0.9686936899481879
Reintubation Procedure,C0860359,66,1.0
Seen,C0205397,5739,1.0
Device Tip Physical Object,C3872494,2145,0.8357620857236396
Intramural,C0205102,236,0.923637661995007
General Purpose Central Venous Catheters,C1145640,727,0.9996775684707582
Nasogastric Tube Device,C0085678,1447,0.9951516118185595
Appropriate,C1548787,270,1.0
Comparison,C1707455,3108,1.0
Structure Of Left Lower Lobe Of Lung,C1261077,1535,0.8343009573352372
Pulmonary Collapse With Atelectasis,C0004144,3263,0.9863583252774345
Air Space Opacification,C0521530,2545,0.9839606392786325
Ending,C0444930,376,0.9929032734836732
Gastroesophageal,C0744316,56,1.0
Left Subclavian,C0694658,72,0.784809585582257
Linings,C0205132,507,0.8508839965066254
Right Chest,C3844327,757,1.0
Endocytotic Transport Vesicle,C0887883,6,1.0
Pleural Membrane Structure,C0032225,1247,0.9852972574943821
Near Complete,C4489118,151,1.0
Mass Of Body Structure,C0577559,4408,0.9049102316488866
Surgical Margins Negative,C1709157,785,0.8126360641299745
Radiologic Examination Of Chest,C0039985,455,0.9605578051047635
Placement Action,C1533810,1143,0.9672201729001144
Chest Radiograph,C3842377,1924,1.0
Aeration,C2215609,604,1.0
Implanted Port Access Device,C1706409,299,0.8600221361333477
Erecting,C0522014,101,1.0
Thoracic Structure,C0817096,7043,0.9337530572569706
Head Flexed Physical Finding,C2029675,1,1.0
Nodular Opacity,C4086623,163,1.0
Is A Attribute,C1292718,3440,1.0
Patchy Distribution,C0205413,451,0.7988613638660055
Increased Mass To Volume Ratio,C0029053,3920,0.9891535398790104
Representation Action,C1882932,1797,1.0
Obstructive,C0549186,380,1.0
Wt With Tumor,C4745117,23,1.0
Bilateral Pleural Effusion,C0747635,800,1.0
Specimen Appearance Assessment,C5553941,3845,0.9728669329250403
Lung Opacification,C0746216,29,1.0
A Small Amount Of Effort,C5204404,378,1.0
Abnormal Changes In Position,C0333051,1435,0.9838806433879095
Free Fluid,C0013687,2828,0.9537391969197466
Distal Qualifier Value,C0205108,669,0.8745229585490083
Peculiar,C2700116,70,1.0
Associated With,C0332281,891,1.0
Pulmonary Oedema,C0034063,852,0.8816918392057354
Patient Positioning Procedure,C1561964,267,0.9817748002423919
Doubting,C0870444,28,1.0
One Day,C3844320,216,1.0
12 Lead Electrocardiogram : Interval Change,C2041208,3617,1.0
Borg Category Ratio 10 Perceived Exertion Score 1,C4055369,11,1.0
Leftward,C5570776,226,1.0
Intensity And Distress 1,C5202796,806,0.985852100659116
Improvement,C2986411,635,1.0
Radiographic Contrast Material,C0009924,7972,0.9882967933928462
Obtained,C1301820,2287,0.9996867151783086
Intravenous Contrast,C4072741,3270,1.0
Cardiac Ventricular Structure,C0018827,251,0.9742327559586037
Enhance Action,C2349975,1084,0.9922273786611833
Tissue Of Frontal Lobe Of Brain,C0016733,71,0.8785035334227231
Right Frontal Lobe Structure,C0228193,202,0.8458081204683309
Margins Of Excision,C0229985,138,0.9805117001794512
Interstitial Oedema,C0013604,1649,0.975676076912883
Bone Structure Of Cranium,C0037303,83,0.9177820578474805
Visualization,C0234621,1311,0.9988761180440514
Mastoid Process Of Temporal Bone,C0446908,332,0.9818914035937943
Multisection For Metastasis,C4263751,167,1.0
Medical Imaging Magnetic Resonance Nuclear Magnetic Resonance,C0024485,1990,0.9842581105918281
Multisection : Finding : Point In Time : Abdomen : Narrative : Computerized Tomography,C1644645,622,0.9550409778329254
Computerized Tomography Of Pelvis,C0412628,646,0.9902631578947434
Unclassified Tumour Malignant,C1306459,356,0.9438914640116496
Symphysis Pubis Structure,C0034015,85,0.9887222223898978
History Of Allergies,C0489531,8,0.9166363808703571
Computerized Axial Tomography Of Thorax,C0202823,1378,0.9782027253235898
Structure Of Trunk,C0460005,30,0.787479537235368
Demonstrates,C3687625,1302,1.0
Lymphangitic Spread,C3697833,143,1.0
Samples Tissue Tumor,C0475358,688,0.8730725339144679
In The Last Week,C2987125,13,1.0
Visible Lesion,C0221198,2137,0.9176340887153475
Venous Tree Organ Part,C0042449,269,0.9586996988908415
Phased,C0205390,100,0.9308342695757803
Supernumerary Spleen,C0266631,14,1.0
Oesophageal Hiatus Hernia,C3489393,98,1.0
Kidney . Bilateral,C0227665,507,0.9557092892016986
Gastrointestinal Tract Pancreas,C0030274,140,0.8225793518439782
Gallbladder And Stomach,C0545806,3,1.0
Pattern Of Bowel Movements Question,C4083257,266,0.9559161579083936
Enlargement Of Mesenteric Lymph Node,C0746552,25,0.8160845531712414
Postero Inferior,C1179852,1,1.0
Portion,C0449719,970,0.9999896907216494
Median Eminence Of Posterior Lobe Of Pituitary Gland,C0025056,1,1.0
Pelvic Lymphadenopathy,C1264124,30,1.0
Sclerotic Lesion,C0748541,190,1.0
Bone Structure Of Femur,C0015811,98,0.9581556838187719
Fracture Of Rib,C0035522,148,1.0
Abnormal Appearance,C0544702,7,1.0
Relate Vinyl Resin,C0163712,121,1.0
Subject Continuance,C2826258,1303,1.0
One Week,C1442452,19,1.0
Lytic Lesion Of Bone,C0221204,176,0.9815723456558435
Speciman Unsatisfactory For Diagnosis,C0702119,5,1.0
Indicated,C1444656,130,1.0
Structure Of Head Of Caudate Nucleus,C0152336,655,0.8437381941675741
Hospital Environment,C0019994,2046,0.828352562884548
Serum Lipids High Finding,C0428465,3,0.9687120045918006
History Of Hypertension,C0455527,6,1.0
Tamponades Pericardial,C0007177,57,0.9842687196376194
Central Location,C0205099,719,0.9774410030344811
Neurological Signs Symptoms,C0422837,3,0.9313826170072527
Diagnostic Scanning,C0441633,137,0.9508246114622635
Providing Action,C1999230,233,0.9979924144985532
Previously,C0205156,2797,0.9862596552878669
Computerized Transaxial Tomography Without Iv Contrast,C0040405,57,0.846106237954019
2 Mm,C3842089,92,1.0
Left Frontal Lobe Structure,C0228194,150,0.8407943698035639
Anatomical Structures,C0700276,3,0.8400080510977953
Ventricular Systems Cerebral,C0007799,293,0.9900000000000041
Deep Resection Margin,C4318566,78,0.8942829344562508
No Hydrocephalus,C4012110,86,1.0
Nonclinical Study Title,C2986914,1312,1.0
5 Mm,C3840882,349,1.0
Collimator Devices,C0454169,55,1.0
Trace Amount,C0442822,183,0.9805053507245719
Portion Of Pleural Fluid,C0225778,352,0.980482813766903
Enlarging,C0442800,784,0.9874809361331982
Reticuloendothelial System Lymph Node,C0024204,561,0.8036021638343669
Cavity Of Compartment Of Abdomen,C0230168,1247,0.9498100512342577
Surrounding Qualifier Value,C1282914,150,0.9662516004351905
Computerized Axial Tomography Of Abdomen,C0412620,18,1.0
Window Physical Object,C0557702,447,0.988275506232043
Radioisotope Scan Of Bone,C0203668,49,0.8348086006808695
Concerns,C2699424,271,1.0
Malignant Melanoma,C0025202,1,1.0
Techniques Values,C0449851,563,0.8805789400822968
Thickening Of Pleura,C0264545,238,1.0
Most Recent,C1513491,268,1.0
Metastatic Malignancy,C4698656,9,1.0
Malignant Melanoma Metastatic,C0860594,1,1.0
Positive,C1446409,95,0.9171636691499128
Catheter Device,C0085590,1078,0.948668978592145
Reflecting,C0558058,376,0.9898822862061533
Described,C1552738,527,1.0
Cardiac Shadow Viewed Radiologically,C0507134,449,1.0
Decrease In Size Since Previous Mammogram Finding,C1268653,107,1.0
Decreased Oxygen Supply,C0242184,512,0.9404931804701189
Rapid Respiration,C0231835,12,1.0
Thank You,C2986674,48,1.0
Single View,C0449911,1078,0.9029287586293945
Notable,C4288581,3678,1.0
Compromises,C2945640,27,1.0
Totally,C4699603,21,1.0
Lung Volume Function,C0231953,329,1.0
Massively,C0522501,757,0.98466340207023
Up To,C0547043,326,1.0
Not Changed,C4489377,90,1.0
Date Property,C0011008,1116,0.9958057072101844
Body Position Recumbent Lateral Decubitus,C0444379,35,0.9817389630751888
Drainage Catheters,C0879005,35,1.0
Concordance,C0680240,31,1.0
Plain Radiography,C1306645,1481,0.9902420811679217
Increased Size Finding,C0332509,130,0.9317428989054566
Left Sided Pleural Effusion,C2063367,184,1.0
Abnormal Pulmonary Interstitial Pattern,C3671966,84,1.0
Apparent,C0750489,294,1.0
Increase In Size Since Previous Mammogram,C1268652,141,1.0
Disease Involvement Site,C5420113,3,1.0
History Of Present Illness Finding,C0262512,251,0.7771875476651294
Remotely,C0205157,12,0.9435443463907239
Pathologic Fracture Of Left Humerus,C2104011,1,1.0
Epithelial Cell Of Renal Tubule,C0553257,20,1.0
Patient Reporting,C0747307,4,1.0
Intensity And Distress 5,C5203119,56,0.8365592448502653
Pain Distress Question,C4085211,3,0.8118745525650496
Intermediate Segment Of Free Lower Limb,C1140621,19,0.9415580297361297
Set Of Bones Of Body,C0816871,50,0.9693929010680946
With Intensity,C0522510,14,0.9361380112452192
Bone Structure Of Proximal Humerus,C0588209,10,1.0
Comminuted Fracture Type,C0476171,11,1.0
Structure Of Shoulder Region,C0037004,19,0.8393773658569265
Degenerative Abnormalities,C0011164,497,0.9992756539235417
Dedicated Blood Product Donation,C4524529,99,1.0
Suggestion,C1705535,659,0.9978345804113566
Metastatic Lesion,C1513183,299,1.0
Kidney And Urinary Bladder,C5187148,40,1.0
Elimination Function Of The Body,C0221102,98,0.9931632653061213
Consistent With,C0332290,384,0.9892741958042994
Secondary Malignancies,C0027627,732,0.8780174301372898
Correlation,C1707520,45,0.9942535851069322
Taken,C1883727,74,1.0
Radiology Procedures,C0807679,181,0.8382323619739152
Services Source Consult Services Treatment,C2224451,83,1.0
Hearing Functions Unspecified,C0018767,86,1.0
Processing Auditory,C0004309,84,1.0
Bone Structure Of Humerus,C0020164,17,0.950005438744344
Lung Mass,C0149726,1221,1.0
Fissural,C1517198,28,1.0
Lesion Mass,C0746408,237,1.0
Leads Device,C0181586,5,0.8209015832809661
Right Cardiac Ventricular Structure,C0225883,10,0.7687474468004373
Calcium Buildup In Soft Tissues Of Body,C0006663,696,0.983808457371107
Change Reason,C2985736,18,1.0
Central Nervous System White Matter,C0682708,144,0.824015596389852
Matter Periventricular White,C0228157,77,0.8135684103962605
Cisterna Basalis,C3498928,71,1.0
Placement Of Tube,C0883304,972,1.0
Clearing,C1550003,75,1.0
One Activity Hour,C4288557,40,1.0
Has Patient Attribute,C0332310,283,1.0
Month Day Year,C5442030,2,1.0
Contour Form,C0876954,804,0.8671923664981145
Small Mass Of The Lung,C0034079,281,0.9739823214315276
Cardiac Pacemaker Lead,C1283151,45,1.0
Calcified Qualifier,C0175895,544,0.9707818596008364
Computerized Axial Tomography Of Brain With Radiopaque Contrast,C1275583,163,1.0
Limited Extensiveness,C0439801,172,0.8636567462441335
Lacking,C0332268,143,1.0
No Hemorrhage,C1861265,55,1.0
Space Occupying Lesion,C0332562,7,1.0
Radioisotope Scan Of Lung,C0203683,8,1.0
Fracture Dislocations,C0332761,1,1.0
Structure Of Head Of Humerus,C0223683,10,1.0
Head Of Left Humerus,C0507143,12,1.0
Study Report,C1317750,187,1.0
Tomography Multidetector Row Computed,C3179130,487,1.0
Within Normal Limits,C0442816,448,1.0
Most Likely,C0750501,445,1.0
History Of Asbestos Exposure,C0375812,2,1.0
Large Mass,C1881358,125,1.0
Structure Of Lower Lobe Of Lung,C0225758,530,1.0
Circular Shape,C0332490,344,0.9983130963448815
7 Mm,C3842085,156,1.0
Similarity,C2348205,628,1.0
Structure Of Upper Lobe Of Left Lung,C1261076,1131,0.8222738660616311
Enlarged Lymph Nodes Unspecified,C4282165,885,0.9921246830188215
Cavities Lungs,C0878624,5,1.0
Structure Of Right Lobe Of Liver,C0227481,81,0.9874532294969096
Infiltration Into Tissue,C0332448,107,0.9110141807658395
Supernumerary,C1883702,227,0.995604178199544
Pathological Dilatations,C0012359,327,0.9180622012498475
Structure Of Tail Of Pancreas,C0227590,9,0.8637129945861262
Inferior Right,C1180152,42,1.0
Inferior Left,C1180153,25,1.0
Kidney And Ureter,C1881331,3,1.0
Trunk Of Systemic Arterial Tree,C0003483,736,0.9708723871430062
Retroperitoneal Lymphadenopathy,C0748390,60,1.0
Distal Ureter,C5205401,44,1.0
Deep Circumflex Iliac Artery,C0020887,38,0.8205304313100645
Pathological Constriction,C1261287,349,0.9402108151388273
Structure Of Femoral Artery,C0015801,277,0.9755450297788185
Bony Destruction,C3810196,18,1.0
Destruction Action,C1948029,81,0.8858640587299114
Compression Of Umbilical Cord,C0266798,219,1.0
Customary,C3538928,42,0.9889190003224255
Characterization,C1880022,243,1.0
Bilateral Atrial Enlargement,C4324595,1,1.0
Hypertrophies,C0020564,296,0.9515076626209046
Enlarged Heart,C0018800,20,0.8717050041933764
Fibrous Tissue Formation,C0016059,72,0.8841711250956191
Large Pleural Effusion,C0747637,86,1.0
Luq Left Upper Quadrant,C0439735,33,0.8351671664740251
Structure Of Small Blood Vessel Organ,C0225988,161,1.0
Ischemic Change,C2826576,70,1.0
Multisection : Find : Pt : Spine . Cervical : Doc : Ct,C0882552,44,0.9902858039774975
Malignant Neoplastic Disease,C0006826,25,0.9907999999999996
Structure Of Cervical Vertebral Column,C0728985,205,0.9921951219512206
Set Of Coronal Planes,C4551585,525,0.9013389908469683
Set Of Sagittal Planes,C0935598,728,0.9450903070089165
Proximal Humeral Fractures,C0037006,2,1.0
Including Qualifier,C0332257,408,0.9844518516942183
