Attribute,Pretty Name,ACC
Days from randomization to diagnosis of lung cancer,Diagnosing,0.8784629745284553
Days from randomization to diagnosis of lung cancer,Carcinoma Of The Lung,0.99
Clinical M for staging,Distantly,0.3131477702399897
Clinical M for staging,Secondary Malignancies,0.99
Clinical M for staging,Unclassified Tumour Malignant,0.99
Clinical M for staging,Distantly,0.3585155692687921
Clinical M for staging,Metastasis From Malignant Neoplasm,0.908818869083051
Clinical M for staging,Presentations,0.7704798873616743
Clinical M for staging,Unclassified Tumour Malignant,0.9797809825500228
Clinical M for staging,Metastasis Present In Distant Organ,1.0
Clinical M for staging,Distant Metastasis Cannot Be Assessed Finding,1.0
Clinical M for staging,Informations,0.341380539753926
AJCC 7th edition staging clinical M component,Distantly,0.3543893837337026
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Malignant Neoplastic Disease,0.99
AJCC 7th edition staging clinical M component,Distantly,0.395324403765892
AJCC 7th edition staging clinical M component,Metastasis From Malignant Neoplasm,0.99
AJCC 7th edition staging clinical M component,Presentations,0.7957410417114599
AJCC 7th edition staging clinical M component,Unclassified Tumour Malignant,0.99
AJCC 7th edition staging clinical M component,Metastasis Present In Distant Organ,1.0
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Pleural Nodule,1.0
AJCC 7th edition staging clinical M component,Distantly,0.5704934680021289
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.860326831675338
AJCC 7th edition staging clinical M component,Organs Anatomy,0.3418686231216044
AJCC 7th edition staging clinical M component,Thoracic Structure,0.7855247243480978
AJCC 7th edition staging clinical M component,Distant Metastasis Cannot Be Assessed Finding,1.0
Clinical N for staging,Pn1 Regional Lymph Node Stage Finding,1.0
Clinical N for staging,Unclassified Tumour Malignant,0.99
Clinical N for staging,Near To,1.0
Clinical N for staging,Reticuloendothelial System Lymph Node,0.7268041959822873
Clinical N for staging,Secondary Malignancies,0.9022451512042132
Clinical N for staging,Near To,1.0
Clinical N for staging,Reticuloendothelial System Lymph Node,0.721781388815507
Clinical N for staging,Tumour Tissue Sample,0.7960783750804097
Clinical N for staging,Secondary Malignancies,0.9728356155030868
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical N for staging,Distal Qualifier Value,0.4125352673268351
Clinical N for staging,Tumour Tissue Sample,0.7975234139250745
Clinical N for staging,Anatomic Node,0.99
Clinical N for staging,Secondary Malignancies,0.772921194202503
Clinical N for staging,Reticuloendothelial System Lymph Node,0.7903173331779138
Clinical N for staging,Nodus Lymphaticus Supraclavicularis Axillae,0.5667645333354849
Clinical N for staging,Bone Structure Of Clavicle,1.0
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical N for staging,Informations,0.5582183352479919
Clinical Stage,Carcinoma Of The Lung,0.8993955922029292
Clinical Stage,Iiia Virus,1.0
Clinical Stage,Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
Clinical T for staging,Tumour Tissue Sample,0.8340543927794342
Clinical T for staging,Greatest,1.0
Clinical T for staging,Origin Of Organ,1.0
Clinical T for staging,Tumour Tissue Sample,0.7578446662056024
Clinical T for staging,Less Than Or Equal To,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.396652693961537
Clinical T for staging,Organs Anatomy,0.4104036527307168
Clinical T for staging,Tumour Tissue Sample,0.7815523382747767
Clinical T for staging,Direct Qualifier,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.4448140925303104
Clinical T for staging,Pleural Membrane Structure,0.5605181611522667
Clinical T for staging,Chest Wall Structure,0.99
Clinical T for staging,Tumour Tissue Sample,0.8708171648489667
Clinical T for staging,Near To,1.0
Clinical T for staging,Structures,0.488930964150561
Clinical T for staging,Organs Anatomy,0.3615149819041838
Clinical T for staging,Respiratory Diaphragms,0.5781700606348459
Clinical T for staging,Tumour Tissue Sample,0.7579397661748181
Clinical T for staging,Tumour Tissue Sample,0.7935641865129934
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.9260745622194616
AJCC 7th edition staging clinical T component,Greatest,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8524688501796116
AJCC 7th edition staging clinical T component,Greatest,1.0
