Attribute,pretty_name,ACC
Days from randomization to diagnosis of lung cancer,Diagnosing,0.8784629745284553
Days from randomization to diagnosis of lung cancer,Carcinoma Of The Lung,0.99
Clinical M for staging,Secondary Malignancies,0.99
Clinical M for staging,Unclassified Tumour Malignant,0.99
Clinical M for staging,Metastasis From Malignant Neoplasm,0.908818869083051
Clinical M for staging,Presentations,0.7704798873616743
Clinical M for staging,Unclassified Tumour Malignant,0.9797809825500228
Clinical M for staging,Metastasis Present In Distant Organ,1.0
Clinical M for staging,Distant Metastasis Cannot Be Assessed Finding,1.0
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Malignant Neoplastic Disease,0.99
AJCC 7th edition staging clinical M component,Metastasis From Malignant Neoplasm,0.99
AJCC 7th edition staging clinical M component,Presentations,0.7957410417114599
AJCC 7th edition staging clinical M component,Unclassified Tumour Malignant,0.99
AJCC 7th edition staging clinical M component,Metastasis Present In Distant Organ,1.0
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.99
AJCC 7th edition staging clinical M component,Pleural Nodule,1.0
AJCC 7th edition staging clinical M component,Secondary Malignancies,0.860326831675338
AJCC 7th edition staging clinical M component,Thoracic Structure,0.7855247243480978
AJCC 7th edition staging clinical M component,Distant Metastasis Cannot Be Assessed Finding,1.0
Clinical N for staging,Pn1 Regional Lymph Node Stage Finding,1.0
Clinical N for staging,Unclassified Tumour Malignant,0.99
Clinical N for staging,Near To,1.0
Clinical N for staging,Secondary Malignancies,0.9022451512042132
Clinical N for staging,Near To,1.0
Clinical N for staging,Tumour Tissue Sample,0.7960783750804097
Clinical N for staging,Secondary Malignancies,0.9728356155030868
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical N for staging,Tumour Tissue Sample,0.7975234139250745
Clinical N for staging,Anatomic Node,0.99
Clinical N for staging,Secondary Malignancies,0.772921194202503
Clinical N for staging,Reticuloendothelial System Lymph Node,0.7903173331779138
Clinical N for staging,Bone Structure Of Clavicle,1.0
Clinical N for staging,Set Of Regional Lymph Nodes,1.0
Clinical Stage,Carcinoma Of The Lung,0.8993955922029292
Clinical Stage,Iiia Virus,1.0
Clinical Stage,Stage Iiib Testicular Cancer Ajcc V6 And V7,1.0
Clinical T for staging,Tumour Tissue Sample,0.8340543927794342
Clinical T for staging,Greatest,1.0
Clinical T for staging,Origin Of Organ,1.0
Clinical T for staging,Tumour Tissue Sample,0.7578446662056024
Clinical T for staging,Less Than Or Equal To,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Tumour Tissue Sample,0.7815523382747767
Clinical T for staging,Direct Qualifier,1.0
Clinical T for staging,Near To,1.0
Clinical T for staging,Chest Wall Structure,0.99
Clinical T for staging,Tumour Tissue Sample,0.8708171648489667
Clinical T for staging,Near To,1.0
Clinical T for staging,Tumour Tissue Sample,0.7579397661748181
Clinical T for staging,Tumour Tissue Sample,0.7935641865129934
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.9260745622194616
AJCC 7th edition staging clinical T component,Greatest,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8524688501796116
AJCC 7th edition staging clinical T component,Greatest,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.7993632288612813
AJCC 7th edition staging clinical T component,Less Than Or Equal To,1.0
AJCC 7th edition staging clinical T component,Near To,1.0
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.782800372518512
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8383258525463413
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.849463305114027
AJCC 7th edition staging clinical T component,Direct Qualifier,1.0
AJCC 7th edition staging clinical T component,Near To,1.0
AJCC 7th edition staging clinical T component,Chest Wall Structure,0.99
AJCC 7th edition staging clinical T component,Tumour Tissue Sample,0.8708171648489667
AJCC 7th edition staging clinical T component,Near To,1.0
Lung Cancer Grade,Cancer Grade,1.0
Lung Cancer Grade,Cancer Grade,1.0
Lung Cancer Grade,Third Grade In Elementary School,1.0
Lung Cancer Grade,G1 : Well Differentiated Histologic Grade Qualifier Value,1.0
Lung Cancer Grade,G3 : Poorly Differentiated Histologic Grade Qualifier Value,1.0
Lung Cancer Grade,G4 : Undifferentiated Histologic Grade Qualifier Value,1.0
