Term,TF-IDF Score
right,695.1176807699525
chest,637.7190429672667
left,576.0161567838214
lung,484.448738360527
reason,439.23230713771966
clip,407.6643587161522
tube,388.80109303570936
ap,342.4107900966295
lobe,331.4475266429987
change,324.1464237200586
interval,321.95439135440216
pleural,316.0371512737347
portable,310.99732732957335
effusion,306.1400709522098
pneumothorax,300.9150030213086
name,284.1404304734469
upper,282.94845908440533
mass,279.1015182028221
contrast,276.62661717808555
unchanged,265.95461733003896
placement,264.4733725426729
lower,261.0812547650053
ct,258.75565965427967
sp,257.7393324319239
eval,251.74699372641084
examination,243.09306318842067
pm,225.0204530963318
diagnosis,223.88970391325324
report,223.13559247694144
radiology,223.1268320944634
number,221.51833455190229
admitting,220.26304790354604
small,219.0592251124333
old,218.66153413488624
hospital,217.44482725238458
year,216.71958544404455
final,216.3567339789442
man,210.99257489502713
medical,208.9876410195404
condition,208.77614856215564
please,208.61424783904735
seen,207.50347299619105
evaluate,206.74941924621214
pulmonary,206.0103763890958
prior,195.5688356885736
study,194.77207982804774
findings,194.52737718313765
comparison,192.15784049330267
line,187.8121190888783
impression,183.41448724156587
pneumonia,183.28098358135975
woman,182.83625640989524
post,182.02348366958518
atelectasis,180.2396998988754
new,179.81307463046406
history,176.53898193407642
edema,174.09727402380514
radiograph,172.28588361001442
status,169.72522758245404
assess,165.79616012369905
tip,162.73731618211968
within,160.62767663907033
lobectomy,159.29998734555434
indication,158.9728548949263
position,158.92626716996622
compared,158.71504435862553
cancer,157.75424574305387
evidence,152.39660157565314
opacity,150.54901757826607
last,150.54401098199173
cm,150.03705396067528
stable,145.4561523600316
noted,141.8327859553402
ptx,140.9513028083629
pneumonectomy,136.2888531821643
increased,136.21902671094807
bilateral,135.51505868884553
patient,134.5954072302676
mediastinal,132.62026198181024
pa,132.54989563879099
size,132.24898674693338
large,130.73432423928895
changes,129.7373162612662
apical,127.47400357631356
acute,126.8850318749771
consolidation,125.33464806605814
normal,124.6395840020643
picc,124.38348464053757
catheter,123.98519988138133
lf,123.03981982200332
view,121.52180174864667
first,120.36115765487261
likely,119.44753697070333
fluid,117.884737080291
head,117.24644190662316
effusions,116.62291198300052
brain,116.17240560304111
ro,116.15418699955492
air,115.07239101088561
tubes,114.82741566336902
collapse,112.66600978525574
previous,112.61792538013144
resection,112.14481100847038
lateral,111.6618949882669
clear,110.56868325722313
hemithorax,110.23123352926318
heart,109.42151222291666
ca,108.84779980699133
since,108.29976122943485
present,107.65062177284356
metastatic,107.62411982659569
also,106.30423532989779
namepattern,106.08559378618413
opacities,105.57434628222428
base,104.48456788688372
hilar,104.32793181428244
single,103.91045693576159
consistent,103.80421874160581
worsening,103.45188267558562
iv,102.95379897884165
appearance,102.68272793453592
yearold,102.65502405162538
pfi,101.44997899723093
mild,100.08992518585525
made,99.5925449296977
identified,99.19666724405059
persistent,99.07561205526764
lesion,98.91581908590632
initial,98.56769435407762
infiltrate,98.40674941472909
pre,97.6329663981929
central,97.17128958006633
physician,96.73631560592082
remains,96.60047800883207
frontal,96.27687254024383
rightsided,96.16818354995658
significant,96.13917661541348
failure,95.97271558144259
removal,94.3052525163437
hemorrhage,94.08902999495756
well,93.815079979722
opacification,93.56669406086056
may,93.56282109443391
endotracheal,92.70655876244071
svc,92.24701502293465
place,90.97388948631543
shift,90.3717525556262
known,89.94461151271102
emphysema,89.19136652739341
without,87.74007398992217
mid,87.50872817949174
abdomen,87.503357374021
disease,87.11967484576354
pna,86.65735586093585
due,86.21281537923285
moderate,86.20860646415254
obtained,85.34025942091274
recent,85.2599606035328
et,84.88283468640977
cardiac,84.70149216575948
respiratory,83.94857904752486
earlier,83.93569488795569
slightly,83.85256411032542
images,83.80688298689229
exam,83.19494836919999
process,83.08792322683614
two,82.97634050147914
multiple,82.81114898991395
lat,82.67950807226175
subcutaneous,82.34965866715218
cell,82.26456439151781
volume,81.8100016286634
middle,80.8654455162469
carina,80.28466514186177
appears,79.70273208924309
technique,79.52659603906613
wo,79.30811299747526
film,79.07090893262387
stent,79.00364853299796
subclavian,78.45321643267937
lesions,78.01320307064789
wall,77.9485485389764
region,77.6278767136311
interstitial,76.88824562391686
ett,76.6674386832936
performed,76.64416608000842
mm,76.03179553041538
ng,75.91353345935143
intubated,74.62482375503174
leftsided,74.25591909028448
aspiration,74.07601015204303
increase,73.05172905197615
evaluation,72.62621325841269
stomach,72.32375611532184
extensive,72.272586067185
venous,72.1935029270693
obstruction,72.17413152607386
structures,72.01164403322085
chf,70.93054831994111
tumor,70.76137886097655
represent,69.73904578010456
unremarkable,69.60683657292165
silhouette,69.46233379079673
bronchus,68.97198307496464
clinical,68.518194503814
mediastinum,68.25386083156334
could,67.93387642733612
vein,67.76926303269153
hypoxia,67.24641686233112
improved,67.14021806570295
contraindications,66.65373461049995
day,66.60200568935295
artery,65.78155189306484
amount,65.70095886145131
dr,65.40815747272599
dvt,64.73824778558131
slight,64.72893337711602
vascular,64.6919322075792
visualized,64.57659760511919
upright,64.25953996430123
decreased,64.003490594181
lungs,63.71928861638695
amt,63.528944545841895
hours,63.45772456064187
contours,63.414777453328995
loss,63.32538997942102
previously,63.17413891229449
doctor,63.12439305663163
ij,62.940555401643955
associated,62.667527028087534
pelvis,62.37274609496293
nasogastric,62.26916358172792
stitle,61.88523307414586
thoracic,61.84807502730968
pericardial,61.72567894184346
casda,61.70794778628961
postoperative,61.30342422436428
level,60.746392970582185
one,60.45982829950501
different,60.217463387168294
approximately,60.20905386360805
intracranial,60.15740287800276
main,59.88483482181309
soft,59.77740326006249
basilar,59.583176197647994
area,59.48840821733906
posterior,58.864613249967846
pain,58.5213020358342
breath,58.362877136654
diffuse,58.063879375198326
optiray,57.55702681191587
improvement,57.50030845981457
veins,57.4861226168989
otherwise,57.253184402140604
apex,57.194972072704715
midline,56.7682849650316
intubation,56.730077659931624
focal,56.53040204795338
jugular,56.371657439248175
xray,56.35448598030425
demonstrated,56.29993985168812
residual,56.139848817222735
superior,56.02677986158163
removed,55.83886652837291
mr,55.68498034963655
rul,55.47411658103777
dated,55.18671247366929
surgical,55.14290738351355
aeration,54.68518489347
patchy,54.47601224946778
pe,54.432247690190415
sided,53.88444923490868
vats,53.59269488091106
internal,53.31690262162882
fever,53.10966301518139
mets,53.01124553163391
side,52.90206764699456
density,52.859561253160464
lymphadenopathy,52.85255626210089
cardiomediastinal,52.6405356590535
remain,52.600956809089084
spine,52.553179331922514
zone,52.40272664385078
axial,52.26672937241741
read,52.11428612596308
possible,52.07263844349938
increasing,51.85206339763114
shortness,51.6960958087505
areas,51.499067801288696
distal,51.49578218686617
copd,51.45386672222381
liver,51.453751508030216
check,51.44949297108419
mri,51.323824624881624
bowel,51.302056470626816
hemidiaphragm,50.706500102508166
cancersda,50.220738684050716
wet,50.00075632718895
thickening,49.9829013619257
along,49.98015617264966
cerebellar,49.94685819563083
port,49.919767758214974
supine,49.88078731299945
thoracotomy,49.68499456136148
free,49.646167074480516
bronch,49.63183926923411
bronchoscopy,49.60375849483587
distress,49.477506714717286
loculated,49.36144757442026
terminates,49.17639365255358
hemoptysis,49.025699889126656
cannot,48.95496895548904
however,48.908712627567425
wcontrast,48.80990460853708
sob,48.42244984804138
perihilar,48.24443320865523
tissue,48.057179641019154
complete,47.96411239447037
appear,47.620851586345964
excluded,47.544070497030894
enlarged,47.53922685003294
osseous,47.52129714769373
adjacent,46.763587619810544
minimal,46.723771018264834
retrocardiac,46.62725133856777
probably,46.61707048341287
procedure,46.49553757080686
grossly,46.31823228429124
progression,46.26932719285728
radiographs,46.25230258321881
basal,45.9167838099839
effect,45.82269938592369
field,45.75447964737955
low,45.67738929425821
placed,45.49176146949262
parenchymal,45.473969235359846
nodule,45.126221140889555
nsclc,45.02227536091339
bleed,44.9941880766824
infection,44.46708377391104
collection,44.45876750029238
views,44.42646576024405
concerning,44.408038581087624
fracture,44.230542072769055
space,44.19596492031485
limited,43.96379042908106
gas,43.92954849034294
male,43.90779754549361
followup,43.82676200813325
postobstructive,43.470706721622854
nodules,43.46267790604242
following,43.40285010044096
note,43.374232412055264
