Term,TF-IDF Score
tumor,8.225573874304839
located,5.256734342650019
cancer,5.22936942241179
metastasis,4.535376065802122
applicable,4.505045317926797
nnot,4.505045317926797
yes,4.36690130110036
lymph,4.121007552195263
ct,3.944125590465648
cm,3.9281175009932516
lung,3.6750787533162503
location,3.5675590263304864
abnormality,3.5229942887545795
may,3.2024153031945692
year,3.1006173929197884
numeric,3.07593151456638
mmissing,3.0611286278898433
icdo,2.8873957904485477
study,2.8800206784073765
involvement,2.8369287426569683
primary,2.8236270928674774
node,2.8000537056622945
lobe,2.7972941199412187
staging,2.7397066442888627
limited,2.7220890862642824
nondiagnostic,2.6916932383906946
one,2.6583624901821516
diameter,2.6301885723713334
reason,2.622220149034441
screen,2.6176139832462737
mm,2.574290475305143
right,2.5290141592577537
diagnosis,2.300303408688575
distant,2.2402541129397338
left,2.0833537761539818
ajcc,1.9064402220601129
size,1.840604443646656
data,1.833462865904365
grade,1.8212620129593886
stage,1.8202283599450488
noncalcified,1.7726551718398107
nodules,1.711014587573113
code,1.7048781596069253
pathologic,1.6915440169187959
randomization,1.681586640774654
nearby,1.5978380801456948
morphology,1.5329425382464035
technical,1.520563366568705
parameters,1.520563366568705
determine,1.4992457894224347
assessed,1.4914177967596096
masses,1.4802879279118561
clinical,1.4791321036151552
differentiated,1.4730140186850478
nodes,1.467401542919698
organs,1.424345884333738
days,1.3965656136998512
cancers,1.3706962454178764
pathology,1.3354783214671357
side,1.3238784255853757
date,1.3167847049805315
number,1.314650682457785
upper,1.2972092201451302
lower,1.2972092201451302
th,1.2762686880834602
edition,1.2762686880834602
structures,1.2734766090191068
participant,1.2705466619610735
unknown,1.25606716025876
mediastinum,1.2527834561954552
interval,1.2498792574423825
years,1.2198101500020644
collection,1.203581448198209
hilum,1.18897280203801
information,1.1704878204654598
missing,1.1652909956067685
spread,1.1390386687806562
unable,1.112112439581892
available,1.1048568534481111
eg,1.1014091855146133
baseline,1.0966661325833416
type,1.0945814461397783
component,1.09073476764312
first,1.089393938929613
screening,1.0574294110699927
longest,1.0557989974569573
sctabdesc,1.0316985680417263
acrin,1.0146862917754056
main,1.0137811291724943
tnm,0.9991481353444648
lss,0.9727859862840328
