Attribute,Frequency
"
 ",174887
 ,81444
"

 ",39130
chest,35482
right,31085
reason,30748
"
  ",26886
left,24490
radiology,20857
clip,19564
lung,17658
contrast,14400
ap,13943
2,13452
impression,12822
ct,12743
portable,12631
diagnosis,12590
old,11381
examination,11342
year,11210
comparison,10935
report,10773
lobe,10561
number,10464
final,10132
"
                                 ",9979
hospital,9953
portable ap,9545
mass,9246
findings,9068
medical,9058
this examination,9053
condition,9004
pleural,8836
effusion,8621
tube,8560
admitting,8555
upper,8052
pneumothorax,7770
s,7451
eval,7301
lower,7197
small,7138
o,6975
pm,6795
p,6737
w,6527
interval,6445
change,6282
1,6223
man,5914
unchanged,5906
[**hospital 2**] medical condition,5880
post,5858
history,5785
seen,5739
3,5725
placement,5364
4,5314
*,5192
indication,5112
prior,4990
pulmonary,4977
pneumonia,4884
evidence,4884
atelectasis,4867
study,4782
pa,4772
evaluate,4746
patient,4740
"

",4548
status,4480
size,4278
woman,4277
5,4224
                                            ,4196
technique,4168
cm,4108
cancer,4049
new,4038
edema,4023
lat,3877
"


",3818
noted,3676
head,3648
line,3596
7,3515
which,3508
tip,3472
8,3449
r,3424
position,3417
10,3240
iv,3227
fluid,3165
9,3142
large,3060
sided,3050
consolidation,3048
normal,3021
compared,3005
assess,2994
air,2984
6,2942
x,2942
view,2932
opacity,2904
radiograph,2898
images,2891
likely,2870
mediastinal,2845
bilateral,2844
11,2840
12,2803
abdomen,2728
changes,2725
stable,2675
lesion,2664
increased,2630
"final report
 indication",2629
stitle,2621
catheter,2567
brain,2514
metastatic,2514
sda,2501
iv contrast,2470
place,2440
mm,2391
appearance,2365
acute,2344
medical condition,2321
hemorrhage,2319
non,2307
obtained,2292
interval change,2251
ptx,2224
identified,2218
lesions,2209
lobectomy,2193
present,2192
no evidence,2171
picc,2164
moderate,2134
clip number,2131
disease,2124
heart,2112
mild,2087
dr.,2084
lateral,2072
hilar,2072
consistent,2068
evaluation,2053
pelvis,2053
effusions,2042
collapse,2010
admitting diagnosis,1997
mr,1983
multiple,1980
amt,1974
the chest,1914
resection,1907
physician,1904
performed,1890
artery,1866
contraindications,1842
apical,1816
pre,1796
shift,1792
previous,1773
frontal,1770
optiray,1746
exam,1743
tumor,1725
opacities,1715
single,1713
axial,1704
central,1701
tubes,1682
pneumonectomy,1674
clear,1668
svc,1657
significant,1653
aspiration,1629
lf,1625
the patient,1624
base,1608
region,1585
doctor,1575
opacification,1570
unremarkable,1550
pfi,1549
spine,1549
mri,1544
this,1531
pna,1525
hemithorax,1522
obstruction,1499
emphysema,1496
clip #,1490
liver,1472
persistent,1469
appears,1467
recent,1462
known,1459
cont,1456
"final report
 history",1454
mid,1448
cell,1440
infiltrate,1430
namepattern1,1427
pe,1423
l,1422
represent,1409
wall,1403
posterior,1402
structures,1401
worsening,1398
vein,1380
initial,1379
middle,1377
bronchus,1373
extensive,1367
visualized,1366
failure,1365
slightly,1365
cta,1363
remains,1347
soft,1334
patent,1328
final report,1322
thoracic,1302
un,1290
port,1275
procedure,1260
chf,1256
endotracheal,1255
removal,1251
mediastinum,1248
nodule,1247
level,1247
lymphadenopathy,1242
breath,1241
no pneumothorax,1236
the right lung,1234
stent,1230
(pre,1226
carina,1225
stomach,1222
_,1212
volume,1209
process,1200
surgical,1187
area,1175
cardiac,1174
lymph,1167
the left lung,1165
measuring,1162
wet,1161
clinical,1152
w&w,1150
w/,1147
areas,1140
hypoxia,1140
pericardial,1136
mets,1135
15,1135
lung cancer,1135
subclavian,1133
subcutaneous,1128
approximately,1121
infection,1121
associated,1120
thickening,1119
venous,1116
increase,1109
read,1107
tissue,1107
compression,1105
previously,1103
c,1100
26,1097
bowel,1089
namepattern4,1088
note,1079
superior,1078
respiratory,1078
diffuse,1076
upright,1072
-,1071
shortness,1064
ray,1059
dvt,1059
earlier,1059
optiray amt,1058
veins,1054
midline,1052
main,1052
lungs,1051
vascular,1049
enhancement,1027
coronary,1026
hemoptysis,1020
16,1000
density,992
abdominal,985
et,985
interstitial,983
film,980
pleural effusion,980
intracranial,976
loss,975
administration,967
                                               ,964
pain,964
focal,964
distal,955
intubated,948
nodes,948
adjacent,948
aorta,946
13,942
image,940
"
                                                             ",939
day,937
identifier,935
numeric,933
24,931
enlarged,930
ett,929
metastasis,925
free,925
ng,924
18,922
20,918
fever,918
14,912
osseous,909
last name,908
anterior,908
renal,904
19,904
concerning,900
metastases,890
copd,880
appear,880
17,880
demonstrated,878
decreased,877
supine,876
fracture,875
the right,873
masses,872
nsclc,871
21,870
the carina,870
nodules,866
limited,865
possible,863
30,862
